Date,Lake,Satellite Sensor,Bloom Extent (KM2),Bloom Extent (% of Lake Area),Bloom Intensity (µg/L),Bloom Severity (µg/L km2),Valid Pixels (% of Lake Area),Site,Station Depth (m),Sample Depth (m),Sample Depth (category),Local Time (Eastern Time Zone),Latitude (decimal deg),Longitude (decimal deg),Wind speed (knots),Wave Height (ft),Sky,Secchi Depth (m),Sample Temperature (°C),CTD Temperature (°C),CTD Specific Conductivity (µS/cm),CTD Beam Attenuation (m-1),CTD Tramission (%),CTD Dissolved Oxygen (mg/L),CTD Photosynthetically Active Radiation (µE/m2/s),Turbidity (NTU),Particulate Microcystin (µg/L),Dissolved Microcystin (µg/L),Extracted Phycocyanin (µg/L),Chlorophyll_a,Total Phosphorus (µg P/L),Total Dissolved Phosphorus (µg P/L),Soluble Reactive Phosphorus (µg P/L),Ammonia (µg N/L),Nitrate + Nitrite (mg N/L),Urea (µg N/L),Particulate Organic Carbon (mg/L),Particulate Organic Nitrogen (mg/L),Dissolved Organic Carbon (mg/L),Colored Dissolved Organic Material absorbance (m-1) at 400nm,Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L)
2018-07-09,Lake Erie,OLCI-S3,196.47,0.74,41.67,8187.4,100.0,WE12,6.88,0.75,Surface,10:59,41.704,-83.2557,5.21,0.52,sunny,0.9,,25.0,314.3,5.3,26.7,7.05,367.0,10.2,<0.1,<0.1,0.41,8.68,36.82,10.45,12.54,29.46,0.88,,0.6,0.14,,0.895,10.15,1.76
2018-07-09,Lake Erie,OLCI-S3,196.47,0.74,41.67,8187.4,100.0,WE12,,5.9,Bottom,,,,,,,,,25.3,313.8,6.7,18.6,5.95,0.0,,<0.1,<0.1,0.11,3.81,,,,,,,,,,,,
2018-07-09,Lake Erie,OLCI-S3,196.47,0.74,41.67,8187.4,100.0,WE13,8.95,0.75,Surface,9:44,41.7439,-83.1384,7,0.66,sunny,0.8,,24.8,309.5,3.7,39.3,7.08,161.0,8.18,0.8,<0.1,0.64,5.23,26.7,7.89,3.67,30.87,0.37,,0.55,0.12,,0.933,7.53,1.53
2018-07-09,Lake Erie,OLCI-S3,196.47,0.74,41.67,8187.4,100.0,WE13,,8.3,Bottom,,,,,,,,,24.7,309.6,3.8,39,6.53,0.0,,0.15,<0.1,0.21,3.78,,,,,,,,,,,,
2018-07-09,Lake Erie,OLCI-S3,196.47,0.74,41.67,8187.4,100.0,WE16,6.19,0.75,Surface,10:24,41.6617,-83.1463,5.88,0.58,sunny,1.3,,24.8,279.6,1.6,66.9,7.28,349.0,2.81,0.14,<0.1,0.56,4.43,18.11,6.7,5.37,26.4,0.55,,0.33,0.09,,0.587,3.95,1.21
2018-07-16,Lake Erie,OLCI-S3,244.08,0.91,35.38,8635.26,100.0,WE2,5.69,0.75,Surface,12:28,41.7623,-83.332,5.64,0.44,mostly sunny,1.5,,26.7,302.0,1.8,64.3,5.48,277.0,3.52,1.02,<0.1,4.41,6.93,19.97,3.71,3.33,24.98,0.65,,0.75,0.15,,0.801,3.8,1.34
2018-07-16,Lake Erie,OLCI-S3,244.08,0.91,35.38,8635.26,100.0,WE2,,4.7,Bottom,,,,,,,,,25.7,307.8,1.9,62.3,6.1,13.0,,0.11,0.11,0.61,3.42,,,,,,,,,,,,
2018-07-16,Lake Erie,OLCI-S3,244.08,0.91,35.38,8635.26,100.0,WE4,8.84,0.75,Surface,9:01,41.759,-83.1953,7.97,0.86,mostly sunny,1.5,,26.1,284.1,1.2,74.5,7.56,171.0,6.79,1.21,<0.1,9.61,9.14,19.92,4.21,2.75,34.84,0.82,,0.9,0.16,,0.914,3.12,1.86
2018-07-16,Lake Erie,OLCI-S3,244.08,0.91,35.38,8635.26,100.0,WE6,3.0,0.75,Surface,11:34,41.7053,-83.3858,5.77,0.24,overcast,1,,27.3,339.9,3.2,44.4,6.57,1241.0,4.75,0.32,0.18,7.92,15.34,32.88,5.8,2.85,45.15,1.48,,1.48,0.26,,1.614,6.2,2.68
2018-07-16,Lake Erie,OLCI-S3,244.08,0.91,35.38,8635.26,100.0,WE8,5.16,0.75,Surface,8:13,41.8334,-83.3603,7.97,0.74,overcast,1.3,,27.0,324.8,2,60.1,7.12,100.0,6.02,0.67,0.13,17.45,15.4,33.84,7.1,2.95,112.63,1.54,,1.32,0.27,,1.573,5.0,2.41
2018-07-16,Lake Erie,OLCI-S3,244.08,0.91,35.38,8635.26,100.0,WE8,,4.2,Bottom,,,,,,,,,26.7,334.4,2,61.1,6.27,5.0,,0.58,0.14,7.08,11.45,,,,,,,,,,,,
2018-07-16,Lake Erie,OLCI-S3,244.08,0.91,35.38,8635.26,100.0,WE9,2.61,0.75,Surface,11:56,41.7175,-83.426,7.82,0.26,mostly sunny,0.7,,28.0,403.0,6.1,21.8,6.92,825.0,8.18,0.25,0.13,12.1,30.07,62.96,10.43,5.87,9.89,3.52,,1.99,0.38,,2.933,11.2,3.88
2018-07-16,Lake Erie,OLCI-S3,244.08,0.91,35.38,8635.26,100.0,WE12,6.89,0.75,Surface,10:54,41.7032,-83.2544,7.31,0.48,overcast,1.5,,26.2,304.1,1.7,65.8,5.72,548.0,2.86,0.17,0.16,1.16,4.93,16.58,4.25,2.87,15.32,0.6,,0.56,0.11,,0.869,3.27,1.1
2018-07-16,Lake Erie,OLCI-S3,244.08,0.91,35.38,8635.26,100.0,WE12,,5.9,Bottom,,,,,,,,,25.2,300.4,3.1,46.4,6.2,11.0,,<0.1,<0.1,0.21,3.51,,,,,,,,,,,,
2018-07-16,Lake Erie,OLCI-S3,244.08,0.91,35.38,8635.26,100.0,WE13,9.09,0.75,Surface,9:43,41.7426,-83.1382,7,0.63,mostly sunny,1.5,,25.9,305.0,1.6,67.3,6.69,774.0,3.86,0.13,<0.1,1.34,6.22,16.69,4.34,3.18,20.99,0.75,,0.57,0.12,,0.958,7.3,1.98
2018-07-16,Lake Erie,OLCI-S3,244.08,0.91,35.38,8635.26,100.0,WE13,,8.2,Bottom,,,,,,,,,25.1,310.4,2.4,56.1,6.71,4.0,,<0.1,<0.1,0.36,3.27,,,,,,,,,,,,
2018-07-16,Lake Erie,OLCI-S3,244.08,0.91,35.38,8635.26,100.0,WE16,6.81,0.75,Surface,10:18,41.6586,-83.1458,4.21,0.41,mostly sunny,1.8,,26.4,303.0,1.7,65.4,6.13,297.0,2.59,0.86,0.15,2.69,7.48,17.44,3.64,2.67,5.31,0.78,,0.84,0.15,,0.841,2.92,1.45
2018-07-23,Lake Erie,OLCI-S3,319.86,1.2,29.36,9390.29,100.0,WE2,5.77,0.75,Surface,12:16,41.7623,-83.3298,1.87,0.54,mostly cloudy,1.5,,24.0,301.2,2.2,57.3,7.66,799.0,3.72,0.51,0.16,3.08,9.36,24.41,4.91,3.72,7.6,0.68,,0.93,0.16,,0.774,4.1,2.34
2018-07-23,Lake Erie,OLCI-S3,319.86,1.2,29.36,9390.29,100.0,WE2,,4.9,Bottom,,,,,,,,,24.0,301.0,2.3,56.7,5.74,134.0,,0.29,0.16,1.69,7.87,,,,,,,,,,,,
2018-07-23,Lake Erie,OLCI-S3,319.86,1.2,29.36,9390.29,100.0,WE4,8.53,0.75,Surface,9:06,41.7608,-83.1938,4.08,0.78,cloudy,1.5,,24.1,294.7,2.6,52.1,7.1,177.0,6.6,0.31,0.38,20.2,16.38,33.2,7.56,15.05,21.21,0.86,,1.21,0.22,,1.047,7.53,2.98
2018-07-23,Lake Erie,OLCI-S3,319.86,1.2,29.36,9390.29,100.0,WE6,3.13,0.75,Surface,11:35,41.706,-83.3837,5.35,0.68,mostly cloudy,0.6,,23.8,342.7,8,13.4,7.39,154.0,13.1,0.73,0.23,10.08,34.41,64.6,6.44,3.9,3.73,1.43,,2.73,0.46,,1.625,17.27,6.02
2018-07-23,Lake Erie,OLCI-S3,319.86,1.2,29.36,9390.29,100.0,WE8,5.12,0.75,Surface,8:17,41.8337,-83.3571,5.05,0.58,cloudy,1.2,,23.8,324.8,3.4,42.6,6.79,398.0,7.08,0.41,0.18,14.06,29.29,37.87,6.1,7.12,7.53,1.01,,1.52,0.27,,1.293,8.2,2.94
2018-07-23,Lake Erie,OLCI-S3,319.86,1.2,29.36,9390.29,100.0,WE8,,4.4,Bottom,,,,,,,,,23.8,324.3,3.4,42.9,5.86,39.0,,0.17,0.22,13.36,28.47,,,,,,,,,,,,
2018-07-23,Lake Erie,OLCI-S3,319.86,1.2,29.36,9390.29,100.0,WE9,2.7,0.75,Surface,11:49,41.7174,-83.423,4.41,0.65,mostly cloudy,0.5,,24.1,412.9,11.5,5.7,7.48,469.0,18.8,0.54,0.19,14.06,34.45,110.08,28.53,17.14,122.28,2.73,,2.61,0.49,,2.431,21.93,5.29
2018-07-23,Lake Erie,OLCI-S3,319.86,1.2,29.36,9390.29,100.0,WE12,6.8,0.75,Surface,10:48,41.7033,-83.2543,5.52,0.65,sunny,1,,24.0,298.5,4.6,31.5,7.24,1319.0,8.04,0.21,0.15,1.37,10.53,32.76,4.17,3.57,2.71,0.46,,0.93,0.15,,0.771,8.57,2.68
2018-07-23,Lake Erie,OLCI-S3,319.86,1.2,29.36,9390.29,100.0,WE12,,5.8,Bottom,,,,,,,,,23.9,298.8,4.7,30.7,7.02,179.0,,0.91,0.22,1.05,8.49,,,,,,,,,,,,
2018-07-23,Lake Erie,OLCI-S3,319.86,1.2,29.36,9390.29,100.0,WE13,9.17,0.75,Surface,9:48,41.735,-83.1365,6.03,0.79,partly sunny,1.5,,24.3,300.6,2.9,48.9,7.1,812.0,5.37,0.12,0.16,2.12,8.21,19.91,3.71,3.37,12.08,0.66,,0.62,0.15,,0.821,6.2,1.58
2018-07-23,Lake Erie,OLCI-S3,319.86,1.2,29.36,9390.29,100.0,WE13,,8.3,Bottom,,,,,,,,,24.2,301.1,2.9,48.7,6.3,35.0,,0.2,0.1,2,8.18,,,,,,,,,,,,
2018-07-23,Lake Erie,OLCI-S3,319.86,1.2,29.36,9390.29,100.0,WE16,6.11,0.75,Surface,10:19,41.6582,-83.1451,5.72,0.55,partly sunny,1.5,,24.0,290.7,2.6,52.7,7.59,1061.0,3.94,0.68,0.18,2.3,9.98,19.78,3.09,2.98,9.61,0.38,,0.83,0.13,,0.673,4.75,1.25
2018-07-30,Lake Erie,OLCI-S3,306.09,1.15,29.8,9121.27,100.0,WE2,5.55,0.75,Surface,12:46,41.7629,-83.333,0.19,0.23,cloudy,1.1,,24.4,280.7,3.4,42.4,8.76,318.0,9.18,5.26,0.16,18.86,25.61,26.16,4.45,2.09,2.98,0.7,,2.26,0.32,,0.808,8.6,4.94
2018-07-30,Lake Erie,OLCI-S3,306.09,1.15,29.8,9121.27,100.0,WE2,,4.7,Bottom,,,,,,,,,23.9,269.0,2.7,50.4,7.75,5.0,,1.79,0.23,10.85,19.56,,,,,,,,,,,,
2018-07-30,Lake Erie,OLCI-S3,306.09,1.15,29.8,9121.27,100.0,WE4,8.6,0.75,Surface,9:04,41.827,-83.1944,4.08,0.28,cloudy,2.5,,23.5,221.2,1.4,70.9,6.79,268.0,1.59,<0.1,0.14,0.81,4.69,10.31,1.01,1.24,9.32,0.18,,0.64,0.1,,0.163,2.9,1.04
2018-07-30,Lake Erie,OLCI-S3,306.09,1.15,29.8,9121.27,100.0,WE6,2.99,0.75,Surface,11:50,41.7052,-83.3858,2.62,0.28,cloudy,1,,24.6,326.3,5.4,25.7,8.31,341.0,8.9,1.91,0.13,16.25,24.96,34.77,5.91,1.72,3.74,1.02,,2.42,0.38,,1.432,10.3,5.18
2018-07-30,Lake Erie,OLCI-S3,306.09,1.15,29.8,9121.27,100.0,WE8,5.29,0.75,Surface,8:08,41.8334,-83.3578,2.92,0.44,cloudy,1.4,,24.0,318.8,2.7,50.9,7.43,146.0,7.47,4.16,0.17,14.8,25.48,27.91,4.99,1.71,8.87,0.95,,1.67,0.25,,1.206,6.57,3.38
2018-07-30,Lake Erie,OLCI-S3,306.09,1.15,29.8,9121.27,100.0,WE8,,4.4,Bottom,,,,,,,,,24.1,319.0,2.7,50.6,6.1,3.0,,2.33,0.14,14.77,24.89,,,,,,,,,,,,
2018-07-30,Lake Erie,OLCI-S3,306.09,1.15,29.8,9121.27,100.0,WE9,2.79,0.75,Surface,12:12,41.7176,-83.4233,1.7,0.28,cloudy,0.4,,24.4,346.9,7.9,14.1,6.17,248.0,10.3,0.66,<0.1,19.99,38.4,58.85,10.35,2.64,4.96,1.59,,2.56,0.41,,1.738,13.2,4.64
2018-07-30,Lake Erie,OLCI-S3,306.09,1.15,29.8,9121.27,100.0,WE12,6.93,0.75,Surface,11:04,41.7036,-83.2547,1.46,0.33,partly sunny,1.4,,24.2,301.8,2.9,48.9,7.08,838.0,4.76,0.27,0.16,6.99,13.13,20.85,3.83,1.93,3.88,0.58,,1.34,0.2,,0.785,5.07,2.94
2018-07-30,Lake Erie,OLCI-S3,306.09,1.15,29.8,9121.27,100.0,WE12,,6.0,Bottom,,,,,,,,,24.1,302.4,2.8,49.1,5.88,6.0,,1.27,0.14,5.52,14.75,,,,,,,,,,,,
2018-07-30,Lake Erie,OLCI-S3,306.09,1.15,29.8,9121.27,100.0,WE13,9.2,0.75,Surface,9:47,41.744,-83.1374,1.94,0.35,cloudy,2.5,,23.7,229.4,1.3,71.4,8.88,220.0,1.58,0.59,0.15,1.2,7.08,11.12,1.87,1.85,5.59,0.28,,0.55,0.09,,0.25,2.4,1.54
2018-07-30,Lake Erie,OLCI-S3,306.09,1.15,29.8,9121.27,100.0,WE13,,8.3,Bottom,,,,,,,,,23.8,230.7,1.3,72.1,6.5,9.0,,0.15,0.11,1.51,6.53,,,,,,,,,,,,
2018-07-30,Lake Erie,OLCI-S3,306.09,1.15,29.8,9121.27,100.0,WE16,6.16,0.75,Surface,10:28,41.6589,-83.1451,0.8,0.25,mostly cloudy,2.2,,24.1,301.7,1.6,67.3,6.99,430.0,3.86,1.01,0.12,3.97,10.67,17.15,3.35,4.52,16.77,0.51,,1.0,0.15,,0.752,3.57,3.08
2018-08-06,Lake Erie,OLCI-S3,293.4,1.1,28.95,8494.69,100.0,WE2,5.73,0.75,Surface,12:21,41.7626,-83.3297,1.91,0.29,sunny,1,,25.5,298.8,5,28.5,8.45,1377.0,7.7,1.43,<0.1,8.27,16.18,23.3,4.23,1.526,4.93,0.55,,2.08,0.31,,0.983,6.9,5.08
2018-08-06,Lake Erie,OLCI-S3,293.4,1.1,28.95,8494.69,100.0,WE2,,4.8,Bottom,,,,,,,,,24.4,293.6,4.2,34.6,6.92,9.0,,2.1,0.13,8.82,23.53,,,,,,,,,,,,
2018-08-06,Lake Erie,OLCI-S3,293.4,1.1,28.95,8494.69,100.0,WE4,8.75,0.75,Surface,8:51,41.8261,-83.1951,9.15,0.7,sunny,1.8,,24.7,244.6,7.2,31,8.58,216.0,2.66,0.46,<0.1,4.44,10.45,16.25,2.86,5.98,4.03,0.41,,1.14,0.17,,0.546,4.53,3.14
2018-08-06,Lake Erie,OLCI-S3,293.4,1.1,28.95,8494.69,100.0,WE6,2.9,0.75,Surface,11:36,41.7048,-83.3862,1.19,0.37,cloudy,0.8,,26.4,368.6,4.8,29.9,8.43,198.0,6.09,1.1,0.11,14.35,29.12,50.67,9.18,2.3,16.08,1.39,,2.65,0.44,,1.869,14.33,8.75
2018-08-06,Lake Erie,OLCI-S3,293.4,1.1,28.95,8494.69,100.0,WE8,5.31,0.75,Surface,8:10,41.8327,-83.3579,10.14,0.77,sunny,1,,25.2,278.2,4.5,32.3,6.66,155.0,8.42,1.33,<0.1,15.21,18.13,22.61,3.95,1.56,4.03,0.55,,1.65,0.25,,0.956,6.87,3.49
2018-08-06,Lake Erie,OLCI-S3,293.4,1.1,28.95,8494.69,100.0,WE8,,4.2,Bottom,,,,,,,,,24.0,282.5,3.1,46.4,7.55,3.0,,1.55,<0.1,14.71,20.93,,,,,,,,,,,,
2018-08-06,Lake Erie,OLCI-S3,293.4,1.1,28.95,8494.69,100.0,WE9,3.03,0.75,Surface,11:55,41.7176,-83.4245,4.07,0.39,cloudy,0.7,,26.1,347.0,5.8,23.2,7.67,297.0,7.75,1.38,0.12,14.01,32.51,46.35,8.54,4.9,4.3,1.07,,2.29,0.36,,1.691,9.6,6.82
2018-08-06,Lake Erie,OLCI-S3,293.4,1.1,28.95,8494.69,100.0,WE12,6.69,0.75,Surface,10:45,41.7032,-83.2556,3.01,0.37,sunny,1,,25.6,292.5,3.8,38.8,7.23,289.0,6.88,1.29,<0.1,8.56,17.48,20.47,4.38,1.61,3.08,0.19,,1.78,0.26,,0.865,8.97,5.68
2018-08-06,Lake Erie,OLCI-S3,293.4,1.1,28.95,8494.69,100.0,WE12,,5.8,Bottom,,,,,,,,,24.7,288.5,3.7,39.6,5.95,4.0,,1.23,0.14,8.06,15.4,,,,,,,,,,,,
2018-08-06,Lake Erie,OLCI-S3,293.4,1.1,28.95,8494.69,100.0,WE13,9.05,0.75,Surface,9:39,41.743,-83.1387,4.75,0.45,cloudy,2,,24.8,225.4,1.6,66.7,7.51,450.0,1.22,0.81,<0.1,5.15,9.02,12.66,2.18,1.35,3.57,0.59,,0.94,0.15,,0.281,3.27,2.54
2018-08-06,Lake Erie,OLCI-S3,293.4,1.1,28.95,8494.69,100.0,WE13,,8.1,Bottom,,,,,,,,,23.9,227.5,3.4,42.7,7.45,23.0,,0.75,<0.1,5,8.44,,,,,,,,,,,,
2018-08-06,Lake Erie,OLCI-S3,293.4,1.1,28.95,8494.69,100.0,WE16,6.07,0.75,Surface,10:13,41.6586,-83.1468,7.09,0.68,sunny,1.3,,25.2,290.4,2.8,49.2,8.01,185.0,5.13,1.68,<0.1,8.18,16.51,19.68,3.97,4.65,3.22,0.37,,1.58,0.24,,0.869,3.9,2.51
2018-08-13,Lake Erie,OLCI-S3,490.59,1.84,21.33,10462.76,100.0,WE2,5.78,0.75,Surface,12:27,41.7627,-83.329,5.75,0.93,sunny,1,,26.0,267.5,3.7,40,7.99,1403.0,7.2,2.53,0.17,15.68,19.43,27.48,6.51,2.1,3.77,0.37,,1.94,0.28,,0.799,6.9,5.08
2018-08-13,Lake Erie,OLCI-S3,490.59,1.84,21.33,10462.76,100.0,WE2,,5.1,Bottom,,,,,,,,,25.3,277.9,3.4,42.9,7.14,19.0,,1.62,0.18,13.49,19.63,,,,,,,,,,,,
2018-08-13,Lake Erie,OLCI-S3,490.59,1.84,21.33,10462.76,100.0,WE4,8.64,0.75,Surface,8:55,41.8278,-83.192,7.97,1.0,sunny,1.2,,25.4,245.8,2.6,51.9,8.24,791.0,3.49,0.7,0.12,6.41,12.61,17.71,5.17,2.1,3.35,0.28,,1.22,0.19,,0.562,4.53,3.14
2018-08-13,Lake Erie,OLCI-S3,490.59,1.84,21.33,10462.76,100.0,WE6,3.12,0.75,Surface,11:34,41.7055,-83.3857,6.33,0.58,sunny,0.7,,26.3,331.7,6.2,21.4,8,867.0,8.74,1.49,0.18,25.12,33.58,47.49,9.0,1.91,5.82,0.62,,3.4,0.51,,1.627,14.33,8.75
2018-08-13,Lake Erie,OLCI-S3,490.59,1.84,21.33,10462.76,100.0,WE8,5.07,0.75,Surface,8:06,41.8339,-83.3567,9.91,1.03,sunny,1,,25.6,265.6,3.6,40.8,7.84,503.0,5.85,1.64,0.19,12.86,18.85,25.82,6.1,1.64,4.55,0.33,,1.91,0.32,,0.816,6.87,3.49
2018-08-13,Lake Erie,OLCI-S3,490.59,1.84,21.33,10462.76,100.0,WE8,,4.4,Bottom,,,,,,,,,25.7,264.9,3.5,41.2,7.07,9.0,,1.9,0.19,13.93,18.0,,,,,,,,,,,,
2018-08-13,Lake Erie,OLCI-S3,490.59,1.84,21.33,10462.76,100.0,WE9,2.8,0.75,Surface,11:56,41.7178,-83.4229,5.77,0.52,cloudy,0.7,,26.3,348.6,4.8,30.2,7.91,904.0,6.01,1.1,0.3,21.3,33.0,57.17,11.65,2.09,3.94,0.55,,2.95,0.5,,1.966,9.6,6.82
2018-08-13,Lake Erie,OLCI-S3,490.59,1.84,21.33,10462.76,100.0,WE12,6.87,0.75,Surface,10:51,41.7032,-83.2536,8.01,1.23,sunny,0.8,,25.6,287.7,4.4,33.6,8.11,1214.0,8.0,1.69,0.16,16.43,19.56,26.53,6.88,2.88,2.17,0.38,,1.95,0.3,,1.014,8.97,5.68
2018-08-13,Lake Erie,OLCI-S3,490.59,1.84,21.33,10462.76,100.0,WE12,,5.9,Bottom,,,,,,,,,25.5,288.5,4.3,34.1,8.65,48.0,,2.2,0.2,17.73,17.94,,,,,,,,,,,,
2018-08-13,Lake Erie,OLCI-S3,490.59,1.84,21.33,10462.76,100.0,WE13,9.22,0.75,Surface,9:37,41.745,-83.1367,8.94,1.06,sunny,1.7,,25.3,235.9,1.7,65.5,7.67,1209.0,3.07,0.93,0.12,7.57,9.17,16.78,4.33,1.7,4.33,0.16,,0.92,0.14,,0.431,3.27,2.54
2018-08-13,Lake Erie,OLCI-S3,490.59,1.84,21.33,10462.76,100.0,WE13,,8.3,Bottom,,,,,,,,,24.9,244.8,1.7,65.7,7.3,16.0,,0.71,0.11,6.28,7.52,,,,,,,,,,,,
2018-08-13,Lake Erie,OLCI-S3,490.59,1.84,21.33,10462.76,100.0,WE16,6.16,0.75,Surface,10:14,41.6588,-83.1439,8.78,1.25,sunny,2,,25.3,246.5,2.3,56.8,7.95,1154.0,4.67,1.77,0.21,10.75,10.89,17.9,4.94,1.48,5.62,0.19,,0.99,0.17,,0.523,3.9,2.51
2018-08-20,Lake Erie,OLCI-S3,302.13,1.13,22.8,6888.35,99.92,WE2,5.63,0.75,Surface,13:01,41.7622,-83.3293,7.19,0.97,sunny,0.8,,25.4,266.1,4.4,33.2,7.99,1141.0,7.55,2.43,0.12,16,20.15,32.11,6.34,2.21,0.87,0.24,,1.96,0.31,,0.775,11.87,5.75
2018-08-20,Lake Erie,OLCI-S3,302.13,1.13,22.8,6888.35,99.92,WE2,,5.2,Bottom,,,,,,,,,25.1,268.9,4,36.3,7.43,9.0,,2.48,0.16,14.55,19.18,,,,,,,,,,,,
2018-08-20,Lake Erie,OLCI-S3,302.13,1.13,22.8,6888.35,99.92,WE4,8.74,0.75,Surface,9:28,41.8262,-83.1934,8.94,1.05,mostly cloudy,1.5,,25.1,251.8,1.9,61.8,6.61,691.0,2.93,0.8,0.22,5.93,12.32,27.47,7.96,3.36,13.14,0.23,,1.06,0.17,,0.585,6.47,4.42
2018-08-20,Lake Erie,OLCI-S3,302.13,1.13,22.8,6888.35,99.92,WE6,3.0,0.75,Surface,12:07,41.7052,-83.3863,6.38,1.04,mostly cloudy,0.5,,25.5,332.8,6.3,20.6,7.92,488.0,14.1,2.76,0.23,34.29,47.68,59.04,10.85,3.01,3.32,0.28,,4.41,0.61,,1.558,21.8,11.86
2018-08-20,Lake Erie,OLCI-S3,302.13,1.13,22.8,6888.35,99.92,WE8,5.63,0.75,Surface,8:44,41.8326,-83.3538,7,1.26,overcast,0.8,,25.1,273.8,4.7,30.7,7.81,274.0,10.2,3.23,0.17,31.55,33.88,42.3,8.12,3.11,4.3,0.22,,2.63,0.42,,0.936,13.3,5.73
2018-08-20,Lake Erie,OLCI-S3,302.13,1.13,22.8,6888.35,99.92,WE8,,4.7,Bottom,,,,,,,,,25.1,273.6,4.6,31.7,6.92,1.0,,2.32,0.19,26.92,33.98,,,,,,,,,,,,
2018-08-20,Lake Erie,OLCI-S3,302.13,1.13,22.8,6888.35,99.92,WE9,2.6,0.75,Surface,12:30,41.7176,-83.4239,7.92,1.03,mostly cloudy,0.5,,26.2,520.6,8.7,11.2,5.78,525.0,11.1,0.37,0.24,25.44,45.53,161.23,79.93,59.67,7.18,0.8,,2.58,0.5,,2.831,20.2,5.26
2018-08-20,Lake Erie,OLCI-S3,302.13,1.13,22.8,6888.35,99.92,WE12,6.67,0.75,Surface,11:21,41.7031,-83.2543,7.19,1.03,mostly cloudy,1,,25.0,241.8,2.9,48.6,7.6,1049.0,29.5,1.46,0.19,9.17,15.08,23.77,6.15,3.01,3.46,0.14,,1.03,0.16,,0.54,8.8,8.03
2018-08-20,Lake Erie,OLCI-S3,302.13,1.13,22.8,6888.35,99.92,WE12,,5.9,Bottom,,,,,,,,,25.0,243.1,2.7,51.4,6.52,11.0,,1.68,0.14,9.18,13.63,,,,,,,,,,,,
2018-08-20,Lake Erie,OLCI-S3,302.13,1.13,22.8,6888.35,99.92,WE13,9.1,0.75,Surface,10:11,41.743,-83.1335,7,0.95,partly cloudy,1.3,,25.1,235.0,2.4,54.4,6.68,975.0,4.26,0.66,0.11,4.03,10.1,19.65,5.74,3.33,4.53,0.16,,1.56,0.23,,0.568,8.4,4.93
2018-08-20,Lake Erie,OLCI-S3,302.13,1.13,22.8,6888.35,99.92,WE13,,8.2,Bottom,,,,,,,,,25.1,235.4,2.4,54.5,6.96,3.0,,0.62,0.12,3.33,8.12,,,,,,,,,,,,
2018-08-20,Lake Erie,OLCI-S3,302.13,1.13,22.8,6888.35,99.92,WE16,5.99,0.75,Surface,10:48,41.6576,-83.1446,7.17,0.91,overcast,0.8,,25.1,251.3,3.7,39.7,7.96,727.0,8.35,6.1,0.23,21.72,23.86,26.92,6.05,1.74,3.98,0.15,,2.74,0.42,,0.623,12.2,4.03
2018-08-27,Lake Erie,OLCI-S3,475.11,1.78,20.72,9846.37,99.98,WE2,5.16,0.75,Surface,12:33,41.7636,-83.3342,12.56,1.25,sunny,1,,24.4,249.6,4.8,30.6,8.07,1043.0,8.99,2.17,0.25,18.54,25.61,31.46,5.79,2.23,3.6,0.06,,1.81,0.3,,0.55,10.53,4.28
2018-08-27,Lake Erie,OLCI-S3,475.11,1.78,20.72,9846.37,99.98,WE2,,4.4,Bottom,,,,,,,,,24.3,249.8,4.1,35.5,7.55,10.0,,2.2,0.25,15.37,24.7,,,,,,,,,,,,
2018-08-27,Lake Erie,OLCI-S3,475.11,1.78,20.72,9846.37,99.98,WE4,8.29,0.75,Surface,9:07,41.8254,-83.199,11.15,1.08,mostly sunny,1.5,,24.2,253.6,2.9,49.2,7.66,391.0,10.9,0.28,0.17,7.49,21.58,27.47,6.02,2.15,4.28,0.18,,1.01,0.21,,0.559,6.17,2.28
2018-08-27,Lake Erie,OLCI-S3,475.11,1.78,20.72,9846.37,99.98,WE6,2.86,0.75,Surface,11:36,41.7048,-83.3866,13.88,0.73,mosly sunny,0.8,,24.6,438.6,5.9,22.8,6.99,423.0,10.2,2.15,0.6,35.79,56.01,84.28,13.22,3.89,3.04,0.21,,3.3,0.57,,2.217,16.1,10.31
2018-08-27,Lake Erie,OLCI-S3,475.11,1.78,20.72,9846.37,99.98,WE8,5.16,0.75,Surface,8:10,41.8338,-83.3567,8.13,0.51,mostly sunny,1,,24.0,294.1,4.9,29.7,7.45,91.0,11.9,2.99,0.38,28.1,39.0,43.44,7.68,2.27,2.6,0.08,,2.72,0.48,,1.059,12.97,7.58
2018-08-27,Lake Erie,OLCI-S3,475.11,1.78,20.72,9846.37,99.98,WE8,,4.4,Bottom,,,,,,,,,24.0,294.1,5.1,28,6.32,0.0,,2.54,0.26,27.39,40.27,,,,,,,,,,,,
2018-08-27,Lake Erie,OLCI-S3,475.11,1.78,20.72,9846.37,99.98,WE9,2.45,0.75,Surface,12:04,41.7177,-83.4257,14.37,0.76,sunny,0.1,,24.2,408.6,nd,nd,4.85,29.0,71.2,<0.1,<0.1,1.08,17.35,248.79,112.3,94.13,194.37,1.61,,2.43,0.42,,5.128,61.0,8.43
